               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10423,            0.034662,            0.074353,              0.3091,             0.32488,             0.22941,            0.091472,            0.080321,            0.017819,            0.027474,            0.070857,           0.0032381,           0.0032381
                   1,            0.078456,            0.027711,            0.019084,              0.2491,             0.35176,             0.22858,            0.077916,            0.078282,            0.013854,            0.010698,            0.040835,           0.0065497,           0.0065497
                   2,            0.076077,            0.023609,             0.01111,             0.45122,             0.44115,             0.40218,             0.17427,            0.072458,            0.012886,           0.0086829,            0.010792,           0.0098394,           0.0098394
                   3,            0.073786,            0.023286,            0.009941,             0.42891,             0.45399,             0.38864,             0.11061,            0.072234,            0.012978,           0.0072343,            0.009901,            0.009901,            0.009901
                   4,            0.064997,            0.022592,           0.0083282,             0.47924,             0.57743,             0.47975,             0.23924,            0.057814,            0.012689,           0.0062499,            0.009901,            0.009901,            0.009901
                   5,            0.060331,             0.02112,           0.0074957,              0.4305,             0.55017,             0.46619,             0.22504,            0.056114,            0.011879,           0.0058305,            0.009868,            0.009868,            0.009868
                   6,            0.053839,            0.020052,           0.0069317,             0.62377,             0.63657,             0.66234,             0.38981,            0.046631,            0.010997,           0.0058361,            0.009835,            0.009835,            0.009835
                   7,            0.054149,            0.020401,           0.0068008,             0.58813,             0.65505,             0.59765,              0.2667,             0.05041,            0.011096,            0.005773,            0.009802,            0.009802,            0.009802
                   8,             0.05085,            0.019315,           0.0066016,             0.56955,             0.64048,             0.60657,             0.30213,             0.04521,            0.010928,            0.005669,            0.009769,            0.009769,            0.009769
                   9,            0.048095,            0.019698,           0.0061682,             0.62881,             0.67493,             0.65948,             0.34526,            0.045209,            0.011156,           0.0056672,            0.009736,            0.009736,            0.009736
                  10,            0.047076,            0.018513,           0.0060455,             0.63789,             0.70238,             0.67526,             0.39103,             0.04222,              0.0108,            0.005345,            0.009703,            0.009703,            0.009703
                  11,            0.046846,            0.018234,           0.0059725,             0.72436,             0.69554,             0.73574,             0.36415,            0.044638,            0.010855,           0.0052097,             0.00967,             0.00967,             0.00967
                  12,            0.046569,            0.017967,           0.0058475,             0.74132,             0.69717,             0.73897,             0.39716,            0.042664,            0.010804,           0.0050373,            0.009637,            0.009637,            0.009637
                  13,            0.044265,            0.017677,           0.0054587,             0.66722,             0.71743,              0.7141,             0.42551,            0.039219,            0.010964,           0.0049418,            0.009604,            0.009604,            0.009604
                  14,            0.042208,            0.017627,           0.0054149,             0.78747,             0.70769,             0.77689,             0.42228,            0.041108,            0.010796,           0.0048826,            0.009571,            0.009571,            0.009571
                  15,            0.043886,            0.017783,           0.0053261,             0.73872,             0.68194,             0.73915,             0.40061,            0.042299,             0.01088,           0.0046647,            0.009538,            0.009538,            0.009538
                  16,            0.042309,            0.017746,           0.0050524,             0.76453,             0.70259,              0.7697,             0.43073,            0.041167,            0.010791,           0.0046589,            0.009505,            0.009505,            0.009505
                  17,            0.041496,            0.018299,           0.0050245,             0.81761,             0.71942,             0.79836,               0.488,            0.037324,            0.010752,           0.0046904,            0.009472,            0.009472,            0.009472
                  18,               0.041,            0.018143,            0.004916,             0.73516,             0.69368,             0.75865,              0.4619,            0.040048,            0.010609,           0.0043813,            0.009439,            0.009439,            0.009439
                  19,            0.039506,            0.017492,           0.0048197,             0.82557,             0.68535,             0.77611,             0.42158,            0.040055,            0.011308,             0.00441,            0.009406,            0.009406,            0.009406
                  20,            0.041533,            0.017603,           0.0047953,             0.84151,              0.7288,             0.80933,             0.46213,            0.037685,             0.01107,           0.0043051,            0.009373,            0.009373,            0.009373
                  21,            0.040277,            0.016728,           0.0046518,             0.74507,             0.67838,             0.73557,             0.45449,            0.041255,             0.01167,           0.0041302,             0.00934,             0.00934,             0.00934
