               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075709,            0.023885,            0.051816,             0.44261,             0.44168,             0.37367,             0.18623,            0.057095,            0.015178,            0.030411,            0.070143,           0.0033175,           0.0033175
                   1,            0.056365,            0.016346,            0.018214,             0.62552,             0.54358,             0.55917,             0.28999,            0.052661,            0.013637,            0.013403,            0.040121,           0.0066288,           0.0066288
                   2,            0.053833,            0.014535,            0.013209,             0.49395,             0.50938,             0.46444,             0.22529,            0.053548,            0.013927,            0.011556,            0.010077,           0.0099182,           0.0099182
                   3,            0.048405,             0.01436,            0.012323,             0.72543,             0.52063,             0.61202,             0.34672,            0.047178,            0.013943,            0.011484,            0.009901,            0.009901,            0.009901
                   4,            0.044126,            0.013854,              0.0109,             0.60497,             0.57184,              0.5587,             0.34379,            0.045949,             0.01498,            0.011567,            0.009901,            0.009901,            0.009901
                   5,            0.042295,            0.013862,           0.0096614,             0.76883,             0.56301,             0.66934,             0.38168,            0.043255,            0.014149,           0.0092065,            0.009868,            0.009868,            0.009868
                   6,             0.04116,             0.01344,           0.0091696,             0.78559,             0.51891,              0.6421,             0.37885,            0.044551,            0.014006,           0.0081273,            0.009835,            0.009835,            0.009835
                   7,            0.040298,            0.013404,            0.008533,             0.73305,             0.64254,             0.70133,             0.46497,            0.040289,            0.014051,           0.0063639,            0.009802,            0.009802,            0.009802
                   8,             0.03949,            0.013209,           0.0081026,             0.71924,             0.60493,             0.67252,             0.42333,            0.041914,             0.01344,           0.0081864,            0.009769,            0.009769,            0.009769
                   9,            0.038231,            0.013155,           0.0076397,             0.81465,             0.58303,             0.71825,             0.46602,            0.040316,            0.014107,            0.010022,            0.009736,            0.009736,            0.009736
                  10,            0.037312,            0.013013,           0.0070322,             0.67271,             0.57879,             0.62022,             0.40376,            0.041935,             0.01497,            0.012332,            0.009703,            0.009703,            0.009703
                  11,             0.03666,            0.012925,           0.0067682,             0.73171,             0.63542,             0.69948,             0.44558,            0.040487,             0.01386,           0.0062094,             0.00967,             0.00967,             0.00967
                  12,            0.035569,            0.012792,           0.0064723,             0.74795,             0.62171,             0.69649,             0.46112,            0.039041,            0.013845,           0.0075432,            0.009637,            0.009637,            0.009637
                  13,             0.03501,             0.01222,           0.0062954,             0.76051,              0.6381,             0.72813,              0.4743,            0.039099,            0.013873,           0.0056175,            0.009604,            0.009604,            0.009604
                  14,             0.03475,            0.012543,           0.0062525,             0.77952,             0.66437,             0.73457,             0.48432,            0.037758,            0.013489,           0.0051866,            0.009571,            0.009571,            0.009571
                  15,             0.03462,            0.012412,           0.0060007,             0.78509,             0.64414,              0.7529,             0.49032,            0.039073,            0.013523,           0.0069925,            0.009538,            0.009538,            0.009538
                  16,            0.033684,            0.012332,           0.0056552,              0.7041,             0.66859,             0.72726,             0.48938,            0.037543,            0.013291,           0.0074193,            0.009505,            0.009505,            0.009505
                  17,            0.033436,            0.012149,           0.0056431,               0.792,             0.67492,             0.75797,             0.51664,            0.037371,            0.013844,           0.0063924,            0.009472,            0.009472,            0.009472
                  18,            0.033379,            0.012091,           0.0047762,             0.76226,             0.64882,             0.72001,             0.49177,            0.037753,            0.013469,           0.0053218,            0.009439,            0.009439,            0.009439
                  19,            0.032924,            0.011908,           0.0051862,             0.80238,             0.68092,             0.74163,             0.50059,            0.037199,            0.013116,           0.0043175,            0.009406,            0.009406,            0.009406
                  20,            0.032627,            0.011788,           0.0048317,             0.77636,             0.61863,             0.74614,             0.49403,            0.036671,            0.013332,           0.0075444,            0.009373,            0.009373,            0.009373
                  21,            0.032018,            0.011789,           0.0048368,             0.78416,             0.66595,             0.75786,             0.52148,            0.035439,            0.013136,           0.0063948,             0.00934,             0.00934,             0.00934
                  22,             0.03139,            0.011757,           0.0045356,             0.79066,             0.70032,             0.76427,             0.52808,            0.035807,            0.013061,           0.0061916,            0.009307,            0.009307,            0.009307
                  23,            0.031885,            0.011586,           0.0047597,             0.77994,             0.71437,               0.776,             0.52805,            0.035867,            0.012981,           0.0036117,            0.009274,            0.009274,            0.009274
                  24,            0.030778,            0.011609,           0.0043136,              0.7929,             0.65683,             0.74329,              0.5172,            0.035531,            0.012999,           0.0050012,            0.009241,            0.009241,            0.009241
                  25,             0.03125,            0.011569,           0.0044246,             0.79551,             0.69262,             0.77514,             0.53991,            0.035389,             0.01289,           0.0047606,            0.009208,            0.009208,            0.009208
                  26,            0.030481,            0.011422,           0.0044578,             0.75553,             0.66622,             0.74291,             0.51027,            0.035869,            0.013307,           0.0066867,            0.009175,            0.009175,            0.009175
                  27,            0.030637,            0.011528,           0.0044432,             0.76925,              0.6647,             0.75685,             0.52628,            0.035566,            0.013227,           0.0057129,            0.009142,            0.009142,            0.009142
                  28,            0.030243,            0.011229,           0.0042205,             0.83454,              0.6734,             0.77453,             0.54422,            0.036541,            0.013583,           0.0048339,            0.009109,            0.009109,            0.009109
                  29,            0.029883,            0.010891,           0.0040021,             0.78521,             0.69424,             0.76934,             0.54327,            0.035289,            0.013351,           0.0049318,            0.009076,            0.009076,            0.009076
                  30,            0.029971,            0.011269,           0.0040559,             0.76007,             0.66437,             0.77307,             0.54945,            0.035486,            0.013691,           0.0057833,            0.009043,            0.009043,            0.009043
                  31,            0.029469,            0.011154,           0.0039788,             0.78012,             0.68169,             0.75587,             0.53586,            0.035282,            0.013491,           0.0048878,             0.00901,             0.00901,             0.00901
                  32,            0.029439,            0.011548,           0.0040238,              0.7282,             0.65078,             0.73313,             0.51633,            0.034762,            0.013322,           0.0061275,            0.008977,            0.008977,            0.008977
                  33,            0.029305,            0.011184,           0.0037337,             0.78606,             0.70533,             0.76837,             0.55506,            0.034882,            0.013235,           0.0054856,            0.008944,            0.008944,            0.008944
                  34,            0.028023,            0.010699,           0.0032341,             0.81965,             0.64361,             0.77551,             0.55431,            0.034727,            0.013425,           0.0072577,            0.008911,            0.008911,            0.008911
                  35,            0.028209,            0.010958,           0.0037332,             0.77052,             0.69774,             0.78881,             0.57004,            0.035043,            0.013555,           0.0051855,            0.008878,            0.008878,            0.008878
                  36,            0.028035,            0.010652,           0.0037898,             0.84312,             0.70057,             0.79878,             0.57295,            0.034499,            0.013642,            0.004306,            0.008845,            0.008845,            0.008845
                  37,            0.027771,            0.010561,            0.003442,             0.73249,             0.67548,             0.74872,             0.53052,            0.034903,            0.013798,           0.0066152,            0.008812,            0.008812,            0.008812
                  38,            0.027852,             0.01049,            0.003691,             0.82704,             0.69186,             0.76152,             0.53465,            0.034999,            0.013427,           0.0044377,            0.008779,            0.008779,            0.008779
                  39,            0.028089,             0.01054,            0.003259,             0.85316,             0.69733,             0.78729,             0.55984,            0.034452,            0.012994,           0.0035419,            0.008746,            0.008746,            0.008746
                  40,            0.027836,            0.010518,           0.0033181,             0.83457,             0.66982,             0.77067,             0.54903,            0.034594,            0.013085,           0.0037364,            0.008713,            0.008713,            0.008713
                  41,             0.02733,            0.010427,           0.0033548,             0.77038,             0.65715,             0.72756,             0.52536,            0.034715,            0.013692,           0.0069577,             0.00868,             0.00868,             0.00868
                  42,            0.027386,            0.010491,           0.0032278,             0.79427,             0.69253,             0.79136,             0.56262,            0.034355,            0.013238,           0.0064255,            0.008647,            0.008647,            0.008647
                  43,            0.027491,            0.010323,           0.0035176,             0.83102,             0.71937,             0.78843,             0.56541,            0.034169,            0.013097,           0.0044806,            0.008614,            0.008614,            0.008614
                  44,            0.027133,            0.010283,            0.002856,             0.84019,             0.67525,             0.77598,             0.56655,            0.034808,            0.013248,           0.0039278,            0.008581,            0.008581,            0.008581
                  45,            0.027204,            0.010125,            0.003299,             0.76328,             0.68225,             0.77153,             0.56309,            0.034112,            0.013137,           0.0076655,            0.008548,            0.008548,            0.008548
                  46,            0.027165,            0.010319,           0.0031233,             0.77698,             0.71813,             0.77011,              0.5524,            0.033911,            0.013117,           0.0051602,            0.008515,            0.008515,            0.008515
                  47,            0.026687,             0.01007,           0.0031959,             0.87566,             0.69001,             0.79722,             0.57625,             0.03402,            0.012951,            0.005161,            0.008482,            0.008482,            0.008482
                  48,            0.026611,            0.010227,           0.0028094,             0.83811,             0.69932,             0.77982,             0.56649,            0.033726,            0.013467,           0.0062662,            0.008449,            0.008449,            0.008449
                  49,             0.02634,            0.010155,           0.0028276,              0.7946,             0.70442,             0.78777,               0.573,            0.033942,            0.013913,            0.005733,            0.008416,            0.008416,            0.008416
                  50,            0.026188,           0.0099721,           0.0032048,             0.80552,             0.73155,             0.79314,             0.57811,            0.033174,            0.012958,           0.0049283,            0.008383,            0.008383,            0.008383
                  51,            0.026282,            0.010268,           0.0028674,             0.79551,             0.72501,             0.79665,             0.57343,            0.033259,            0.012848,           0.0045307,             0.00835,             0.00835,             0.00835
                  52,            0.026276,            0.010145,           0.0029554,             0.82658,             0.73135,             0.81275,             0.59059,            0.033673,            0.013085,           0.0044058,            0.008317,            0.008317,            0.008317
