               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10123,            0.032013,            0.082876,             0.29662,             0.37792,             0.19338,            0.063567,              0.0829,            0.018693,            0.050055,            0.070698,           0.0032558,           0.0032558
                   1,            0.076953,            0.023968,            0.038079,              0.3882,             0.33851,             0.28839,             0.11004,              0.0721,            0.015154,            0.027186,            0.040676,           0.0065674,           0.0065674
                   2,            0.073729,            0.021784,              0.0238,             0.43286,              0.4089,             0.33826,             0.12907,            0.079128,            0.014151,            0.015601,            0.010632,            0.009857,            0.009857
                   3,            0.068474,            0.019315,            0.019103,             0.47575,             0.46075,              0.4283,             0.18886,            0.067674,            0.014476,            0.016526,            0.009901,            0.009901,            0.009901
                   4,            0.060287,            0.018727,            0.016127,             0.43619,             0.47635,             0.41203,             0.19107,            0.065635,            0.014438,            0.015139,            0.009901,            0.009901,            0.009901
                   5,            0.057011,            0.018653,            0.013562,             0.63828,             0.53197,             0.57117,             0.25591,            0.055724,            0.014697,           0.0096071,            0.009868,            0.009868,            0.009868
                   6,            0.053357,            0.017909,            0.013138,             0.55241,             0.47415,             0.47803,             0.24307,            0.053851,            0.015059,           0.0099854,            0.009835,            0.009835,            0.009835
                   7,            0.050734,            0.017865,            0.012162,             0.57473,             0.52301,             0.49736,             0.25416,            0.054817,            0.014152,           0.0097006,            0.009802,            0.009802,            0.009802
                   8,            0.050211,            0.017377,            0.011172,             0.62641,             0.59858,              0.5888,              0.3035,            0.053648,            0.013959,            0.010238,            0.009769,            0.009769,            0.009769
                   9,            0.048844,            0.016648,            0.010721,             0.63909,             0.55107,             0.57186,             0.33592,            0.048105,            0.014266,             0.01564,            0.009736,            0.009736,            0.009736
                  10,            0.047741,            0.016991,            0.010896,             0.74208,             0.61588,             0.67302,             0.39162,             0.04785,            0.013956,           0.0075745,            0.009703,            0.009703,            0.009703
                  11,            0.045762,            0.016462,           0.0099869,              0.7626,             0.59456,             0.67678,             0.37646,            0.049292,            0.013756,            0.010479,             0.00967,             0.00967,             0.00967
                  12,            0.043776,            0.016751,           0.0095424,             0.67213,             0.61503,              0.6018,             0.33863,            0.045688,            0.013929,            0.011735,            0.009637,            0.009637,            0.009637
                  13,             0.04403,            0.017223,           0.0094644,             0.66948,             0.58867,             0.62343,             0.38469,            0.045631,             0.01408,            0.010155,            0.009604,            0.009604,            0.009604
                  14,            0.043535,            0.016234,           0.0095465,             0.73627,             0.59484,             0.66942,             0.39619,            0.047639,            0.014213,            0.010894,            0.009571,            0.009571,            0.009571
                  15,            0.043918,            0.016854,           0.0089249,             0.72124,             0.55183,             0.63602,             0.38518,            0.048772,            0.014245,           0.0081547,            0.009538,            0.009538,            0.009538
                  16,            0.042476,             0.01719,           0.0095424,             0.77684,             0.63068,             0.70799,             0.42088,            0.045444,            0.014028,           0.0081268,            0.009505,            0.009505,            0.009505
                  17,            0.042747,            0.015739,           0.0086994,             0.74317,               0.566,             0.64128,             0.35583,            0.046309,            0.014954,            0.010198,            0.009472,            0.009472,            0.009472
                  18,            0.041745,            0.016794,           0.0080233,             0.73027,             0.60446,             0.67332,             0.40056,            0.043454,             0.01389,           0.0093826,            0.009439,            0.009439,            0.009439
                  19,            0.041799,            0.016286,           0.0079495,             0.76996,             0.64505,             0.70423,              0.4064,            0.045479,            0.013883,           0.0081475,            0.009406,            0.009406,            0.009406
                  20,            0.041333,            0.016373,           0.0082553,             0.76493,             0.64373,             0.72124,             0.42083,             0.04227,            0.013599,           0.0079649,            0.009373,            0.009373,            0.009373
                  21,            0.041632,            0.015253,           0.0070144,             0.76438,              0.6609,             0.71706,             0.39305,            0.046016,            0.013952,           0.0076262,             0.00934,             0.00934,             0.00934
                  22,            0.040889,            0.015092,           0.0076173,             0.72593,              0.6221,             0.68271,             0.38986,            0.046993,             0.01452,            0.010243,            0.009307,            0.009307,            0.009307
